LA CAROLINA · METROPOLITANA DE TRANSPORTE;;;;;;;;;;;;;
DEPARTAMENTO: TECNOLOGÍA (TI);;;;;;;;;;;;;
Plantilla de iniciativas de ahorro e ingreso · Comité Directivos · 26 may 2026;;;;;;;;;;;;;
;;;;;;;;;;;;;
1. DATOS DEL JEFE Y ENTREGA;;;;;;;;;;;;;
Jefe responsable;;;Fecha entrega;;;# Iniciativas;;Total ahorro/ingreso anual;;;;;
;;;;;;7;;$41.686.134;;;;;
;;;;;;;;;;;;;
2. INICIATIVAS · LLENE LAS CELDAS AMARILLAS;;;;;;;;;;;;;
#;Iniciativa;Tipo;Categoría;Pesim. mes;Base mes;Optim. mes;Esperado mes;Anual esperado;CapEx;Payback (m);ROI 12m;Estado;Notas / Metodología
1;Renegociar LM Solución — objetivo ahorro 20-30% (gasto ~$128M/año);AHORRO;Renegociación proveedor;$6.000.000;$6.000.000;$6.000.000;$6.000.000;$36.000.000;;-;;Negociación;Varia la cotizacion debido a que ellos no colocan el gps
2;Plan repotenciación de equipos (vida útil +2-3 años, ahorro 15-20%);AHORRO;Optimización proceso;;;;-;-;;-;;Propuesta;En Revision Debido a verificacio de repotenciacion de equipos y años de usoso posibles y tecnologia actual
3;Aplicativo de alertas de repuestos repetitivos (con Mantenimiento);AHORRO;Tecnología;;;;-;-;;-;;Por desarrollar;Plan SAAS
4;Plataforma de control interno Carolina S.A.S — repositorio + anotaciones + data;AHORRO;Tecnología;;;;-;-;;-;;Por desarrollar;Plan SAAS
5;App Carolina S.A.S — reporte taller + accidentalidad (piloto 8 días);MIXTA;Tecnología;;;;-;-;;-;;Piloto;Plan SAAS
6;Automatización WhatsApp con app Víctor (~$0.03 USD/conexión);AHORRO;Tecnología;;;;-;-;;-;;Propuesta;Plan SAAS
7;Gestion Llantas Pro (Control interno);AHORRO;Tecnología;$947.689;$947.689;$947.689;$947.689;$5.686.134;;-;;En curso;Implementado apartir de abril del 2026
8;;;;;;;-;-;;-;;;
9;;;;;;;-;-;;-;;;
10;;;;;;;-;-;;-;;;
11;;;;;;;-;-;;-;;;
12;;;;;;;-;-;;-;;;
13;;;;;;;-;-;;-;;;
14;;;;;;;-;-;;-;;;
15;;;;;;;-;-;;-;;;
TOTAL DEPARTAMENTO;;;;$6.947.689;$6.947.689;$6.947.689;$6.947.689;$41.686.134;-;;;;
;;;;;;;;;;;;;
3. PLAN DE IMPLEMENTACIÓN · HITOS PRINCIPALES;;;;;;;;;;;;;
#;Hito / acción;;;;;;Responsable;;;Fecha objetivo;;Estado;
1;;;;;;;;;;;;;
2;;;;;;;;;;;;;
3;;;;;;;;;;;;;
4;;;;;;;;;;;;;
5;;;;;;;;;;;;;
6;;;;;;;;;;;;;
;;;;;;;;;;;;;
4. KPIs DE SEGUIMIENTO MENSUAL;;;;;;;;;;;;;
KPI;;;;;Línea base;;;Meta mensual;;;Frecuencia;;
Accidentalidad (eventos/mes);;;;;;;;;;;Mensual;;
Rotación de personal;;;;;;;;;;;Mensual;;
Ausentismo de conductores;;;;;;;;;;;Mensual;;
Conductores tarde;;;;;;;;;;;Mensual;;
Ahorro materializado vs. proyectado;;;;;;;;;;;Mensual;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
5. COMPROMISO Y FIRMA;;;;;;;;;;;;;
Yo, jefe de Tecnología (TI), me comprometo a ejecutar las iniciativas descritas, reportar avances en cada comité directivo y materializar el ahorro/ingreso proyectado durante el año fiscal 2026.;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Firma Jefe de Departamento;;;;;;;Aprobado Dirección General — Liliana Anaya CEO;;;;;;
;;;;;;;;;;;;;
TRANSPORTE CON CORAZÓN · Ideas ejecutables · Planes medibles;;;;;;;;;;;;;
